               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035389,           0.0067681,            0.022476,             0.97559,              0.9525,             0.98565,             0.74765,            0.012185,           0.0039662,           0.0027236,            0.070002,           0.0033331,           0.0033331
                   1,            0.023714,           0.0041343,           0.0062961,             0.98959,             0.97767,             0.99262,             0.81714,            0.009458,            0.003168,           0.0013665,            0.037802,           0.0044665,           0.0044665
                   2,            0.017986,           0.0034754,           0.0042107,              0.9918,             0.98337,             0.99364,             0.83983,           0.0087845,           0.0028485,           0.0010228,            0.003402,           0.0033999,           0.0033999
