               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085872,            0.050474,                   0,             0.61801,             0.39717,             0.43978,             0.16021,               0.081,            0.091551,                   0,             0.07002,           0.0033311,           0.0033311
                   1,             0.08546,            0.048376,                   0,             0.59884,              0.3805,             0.40561,             0.13907,             0.08247,            0.092118,                   0,            0.038371,            0.005015,            0.005015
                   2,            0.089857,            0.051907,                   0,             0.59343,             0.40062,             0.43768,             0.15645,            0.082682,             0.09155,                   0,           0.0050715,           0.0050489,           0.0050489
                   3,            0.088595,            0.052474,                   0,             0.61524,             0.41051,             0.44998,             0.16325,            0.080467,            0.091595,                   0,            0.002575,            0.002575,            0.002575
