               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085468,            0.051356,                   0,             0.63156,             0.41369,             0.46388,             0.17114,            0.079645,            0.091298,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.084392,            0.048729,                   0,              0.6315,             0.39862,             0.44306,             0.15449,            0.081069,            0.092035,                   0,            0.038371,            0.005015,            0.005015
                   2,            0.086267,            0.049965,                   0,             0.60272,             0.41348,             0.45208,             0.16463,            0.080889,            0.091635,                   0,           0.0050715,           0.0050489,           0.0050489
                   3,            0.085936,            0.051263,                   0,             0.62924,             0.42454,              0.4667,             0.17055,            0.079506,            0.091628,                   0,            0.002575,            0.002575,            0.002575
