               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099064,            0.050627,                   0,             0.49455,             0.31905,             0.32486,             0.10723,            0.088791,            0.091032,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.096808,            0.050581,                   0,             0.51898,             0.32015,             0.32361,             0.09936,            0.087631,            0.090088,                   0,            0.038371,            0.005015,            0.005015
                   2,             0.09394,            0.052085,                   0,             0.57399,              0.3656,             0.39262,             0.13379,            0.084723,            0.091657,                   0,           0.0050715,           0.0050489,           0.0050489
                   3,            0.089894,            0.051107,                   0,              0.6123,             0.38348,             0.42348,             0.14891,            0.082361,            0.091225,                   0,            0.002575,            0.002575,            0.002575
